Time,Twater,Thermocline,Tair,Wind,Precipitation,Solar 
2014-04-01 00:00:00,6.26,17.30,2.20,0.80,0.00,0.00 
2014-04-01 00:30:00,6.27,16.91,2.20,0.80,0.00,0.00 
2014-04-01 01:00:00,6.28,16.69,1.70,0.70,0.00,0.00 
2014-04-01 01:30:00,6.29,16.31,1.70,0.70,0.00,0.00 
2014-04-01 02:00:00,6.30,15.95,2.70,0.70,0.00,0.00 
2014-04-01 02:30:00,6.30,15.60,2.70,0.70,0.00,0.00 
2014-04-01 03:00:00,6.31,15.45,3.10,0.50,0.00,0.00 
2014-04-01 03:30:00,6.31,15.56,3.10,0.50,0.00,0.00 
2014-04-01 04:00:00,6.32,15.66,1.70,0.80,0.00,0.00 
2014-04-01 04:30:00,6.32,15.76,1.70,0.80,0.00,0.00 
2014-04-01 05:00:00,6.32,15.87,1.30,0.50,0.00,0.00 
2014-04-01 05:30:00,6.33,16.32,1.30,0.50,0.00,0.00 
2014-04-01 06:00:00,6.33,16.32,1.90,0.50,0.00,0.00 
2014-04-01 06:30:00,6.34,15.87,1.90,0.50,0.00,0.00 
2014-04-01 07:00:00,6.34,15.60,4.90,1.00,0.00,0.00 
2014-04-01 07:30:00,6.34,15.14,4.90,1.00,0.00,0.00 
2014-04-01 08:00:00,6.35,15.14,7.60,1.10,0.00,0.00 
2014-04-01 08:30:00,6.35,14.69,7.60,1.10,0.00,0.00 
2014-04-01 09:00:00,6.36,14.42,10.10,1.70,0.00,40.49 
2014-04-01 09:30:00,6.36,13.97,10.10,1.70,0.00,40.49 
2014-04-01 10:00:00,6.37,13.52,11.40,2.00,0.00,14.81 
2014-04-01 10:30:00,6.38,13.08,11.40,2.00,0.00,14.81 
2014-04-01 11:00:00,6.39,12.84,12.90,2.60,0.00,30.56 
2014-04-01 11:30:00,6.40,12.40,12.90,2.60,0.00,30.56 
2014-04-01 12:00:00,6.41,11.95,14.50,2.00,0.00,110.93 
2014-04-01 12:30:00,6.42,11.49,14.50,2.00,0.00,110.93 
2014-04-01 13:00:00,6.44,11.23,14.80,2.30,0.00,109.63 
2014-04-01 13:30:00,6.45,10.77,14.80,2.30,0.00,109.63 
2014-04-01 14:00:00,6.47,10.32,13.90,3.30,0.00,102.04 
2014-04-01 14:30:00,6.49,10.32,13.90,3.30,0.00,102.04 
2014-04-01 15:00:00,6.50,10.32,12.80,5.10,0.00,43.70 
2014-04-01 15:30:00,6.52,10.32,12.80,5.10,0.00,43.70 
2014-04-01 16:00:00,6.52,10.32,11.40,4.50,0.00,5.93 
2014-04-01 16:30:00,6.53,10.32,11.40,4.50,0.00,5.93 
2014-04-01 17:00:00,6.55,10.32,11.10,3.70,0.00,0.00 
2014-04-01 17:30:00,6.56,9.87,11.10,3.70,0.00,0.00 
2014-04-01 18:00:00,6.58,9.41,10.40,3.10,0.10,0.00 
2014-04-01 18:30:00,6.59,8.98,10.40,3.10,0.10,0.00 
2014-04-01 19:00:00,6.61,8.55,8.90,4.10,0.00,0.00 
